epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_right bundle branch block_rocauc,train_right bundle branch block_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular premature beats_rocauc,train_ventricular premature beats_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_nonspecific st t abnormality_rocauc,valid_nonspecific st t abnormality_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_prolonged qt interval_rocauc,valid_prolonged qt interval_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.8529787093748205,0.3365382226528533,0.8907555522555862,0.3858392121382723,0.8031613813286249,0.2944246083933134,0.7768654678071797,0.0187441540912697,0.8834425146884,0.1447046787935764,0.9279648934527402,0.6234366313246253,0.9527069063823435,0.71324708758815,0.9808018803968984,0.5344069899437183,0.7977487641939011,0.028726530183168907,0.5905971970546366,0.014196424989411335,0.9601398387525023,0.2326327656301836,0.5134341198386831,0.031236408166002313,0.5407064685758581,0.027776248501234203,0.6704187707502678,0.08199042255758127,0.9320704484818784,0.7559529748802307,0.9403235591552551,0.58069072494112,0.7573898023250341,0.11629053850001778,0.9032911877171427,0.25739449471183257,0.7727392465707539,0.0218289421835459,0.7187421713262024,0.08554388804600885,0.6161844056728951,0.06075454464454444,0.9717558248237494,0.6607357741447449,0.514525077770497,0.10128372953532647,0.8443812012405514,0.4410695634004027,0.6437543401829116,0.06078127479288488,0.6786276020310054,0.26916574861495485,0.6583036910641991,0.1107453909831907,0.7513560471487637,0.027215707061387977,0.7774884578143875,0.24743760958298888,0.32354475665200866,0.887811523735701,0.3983613037620172,0.7951585107166357,0.3091557868652378,0.8908629048105821,0.16911792682882187,0.9221672830176958,0.5842843319990706,0.9760702887168113,0.5069939753933719,0.5298507743772939,0.03113401473360774,0.519716455879511,0.02680715036898907,0.669505138461754,0.08501833913026473,0.926879781492733,0.7295945422005455,0.9532846937388585,0.638889802349273,0.7666487689739612,0.11826127841488548,0.7384150502962383,0.1030774840238149,0.6451322941601766,0.039133532603481604,0.5059203658315179,0.0990370005762194,0.8405771781458247,0.42066278923010975,0.6384910151664033,0.05582839880903312,0.6798911754589936,0.275548554030809,0.6307934946803309,0.09562939879589216,0.7509542609811679,0.26036308945085807
1,4.424448497997113,0.28178181908524014,0.9194005844481342,0.4573002589185479,0.7722235633275361,0.2970159543704525,0.7265729019798686,0.019577707195103926,0.8795388555532716,0.16390402336780943,0.9507469503582127,0.7142826378466062,0.8811235989935737,0.31690952676691564,0.9776487526239189,0.5098025474816598,0.8278090850709314,0.04672869414169062,0.6148539250819676,0.01693638224559886,0.9709770815417198,0.5425496080256106,0.5136358386651436,0.0278312967748295,0.4580134698465892,0.024621022050089866,0.6219613564430158,0.08718876206590227,0.9328070937542493,0.7724886436504372,0.9323968788203254,0.6919295146999441,0.8317268802524274,0.3254926527892783,0.8439909152260492,0.12991970285621943,0.7521065794513906,0.016869268817677332,0.683099927311565,0.07386467591662843,0.6459799167769205,0.13249068260872635,0.941461302879283,0.3315638144814054,0.5241791885926168,0.11691075924896352,0.88514268861431,0.5824577985799549,0.5784165605594177,0.054356393213500005,0.6154054303874572,0.32848556018009334,0.5808448172529193,0.1325935249846459,0.688783942601505,0.022285834746065013,0.7611425217190488,0.2569021202971984,0.2803160169933666,0.9191954323833684,0.47100049448552767,0.7682275447110438,0.3186742504822718,0.8825152837798126,0.16816965161534966,0.9460541676746336,0.6805522923563089,0.9748261901817517,0.4878610370191214,0.5425996294783694,0.036929250517853396,0.43549660631234577,0.022673855954402494,0.6159329092730496,0.07902614481901679,0.9261085051305014,0.7412678149273729,0.9275425751834047,0.703550508877669,0.8091426819605525,0.32677692313500306,0.6930666439425007,0.07908348681643669,0.6556343489059462,0.1189359918953383,0.514065912019386,0.11637911971267009,0.8958246021686944,0.5899809789231772,0.5560200689487514,0.045280022792698695,0.6153143911534342,0.3348141522972935,0.5526311442450851,0.12141042353016288,0.735011035414035,0.3023536888976486
2,4.261384253786092,0.4355916623189486,0.9156868606659014,0.5385622751079024,0.8278178603162925,0.43791763746324047,0.7545232773527889,0.019975306888925418,0.9216611142873373,0.32773098206337464,0.952674059886891,0.7148467930641226,0.8905397694843831,0.445613749644799,0.9805244570202163,0.5218999235602391,0.8693715115260432,0.0981613201683556,0.657036277989089,0.020550388899137496,0.9660212401938887,0.5322837252593356,0.5777453499259027,0.040606925116170325,0.5853228238629111,0.057176305680103304,0.7077443375153032,0.10934108234839288,0.9513910088655093,0.7937348990936292,0.937740623475387,0.6801298046338057,0.9016146166196405,0.41784668402946934,0.8768321936866815,0.2252845579203369,0.8717640621677285,0.051059543558937735,0.7547492202796807,0.14265611020010133,0.8404674381074673,0.24231895513949445,0.9601027027112884,0.5061031690705937,0.5528741694602918,0.16828996083057962,0.9170350662041198,0.6421655746443071,0.5647730112015826,0.06383540232417367,0.6750958074758442,0.3289676556242483,0.619944714621059,0.13081263428777717,0.8003935742662387,0.04477538804945213,0.8085721166359062,0.30750543535818536,0.41447417455466945,0.9187560190731215,0.5349611735221896,0.8222204208741012,0.4481431775510253,0.9252771452729807,0.332279421194112,0.9476116312537527,0.6788243184499388,0.9771091570388264,0.5055587966985727,0.5777907096247917,0.03858666173189417,0.5570162981652007,0.0551128069620036,0.7036991145172928,0.10951402440208849,0.9471052396672929,0.771784486303009,0.9316243069741014,0.6824592906856404,0.8926420300228866,0.4063152834215371,0.7606642215362702,0.13946936948562963,0.829269169822771,0.16703796171352042,0.5381682830025014,0.15787135952589723,0.9203740131286922,0.6095288779437507,0.547367700757212,0.054617032054021894,0.677465649167442,0.32630729764650296,0.5766887640327331,0.11375351078007234,0.7806027707739983,0.3406736027817448
3,4.145244402084725,0.40821346053514196,0.8778761684343216,0.4789982067631579,0.8802239900770952,0.48787436514132265,0.7709608700419133,0.018357421502616846,0.9351641949996711,0.47826383678755063,0.9566610586391984,0.744795153044114,0.8727894587700005,0.5972561710134868,0.9806636189458837,0.5624652858442772,0.9040952817547195,0.16524280885146836,0.6677901219558477,0.025836768341911162,0.9684612254773584,0.56632164105929,0.5305556452856299,0.033438041280574975,0.5732483941404104,0.05826907433693958,0.6670486671492868,0.13070335392762542,0.9561194531382303,0.845230799029206,0.96270180170855,0.7770808473371879,0.8932068071383346,0.4320442477529542,0.8468153235843234,0.2674105549050482,0.8082142009295606,0.023991198022314236,0.7254580560936676,0.1966096217565591,0.8021617137411056,0.2454505371123321,0.9574355714632479,0.6727745262513142,0.5360478632402175,0.16473560637804052,0.9270279940716349,0.6554747513570677,0.5854801926230497,0.0779679426786315,0.6109357271587172,0.2929890148134271,0.5823393747312063,0.14166062155574435,0.7990734397096168,0.05540907310108532,0.7992057857408444,0.3406167211090832,0.3893567861668033,0.8872469472603361,0.49539277330419595,0.866767502571375,0.4767636094088556,0.9374992112469871,0.49839310359333955,0.9512495549451571,0.7140676811949869,0.981475342116134,0.5711561196890983,0.5314577491806393,0.03645162789338641,0.5273196827765061,0.04904201120679315,0.6664874743427183,0.1210871010595046,0.9525884082275331,0.82745875201774,0.9507309432904985,0.7832936653252213,0.885424260571847,0.4146147528502982,0.7424996937563579,0.20004802170742272,0.7960107588511405,0.1848537651024313,0.5203716469226579,0.1506492135091046,0.9289246462316614,0.6553621732897933,0.5680722037460584,0.0679408856695918,0.6181012346766654,0.30903959155611127,0.5448143277872566,0.12970193608722133,0.7698356438056406,0.37140648802583864
4,4.057445450826111,0.4422498819905096,0.9343921043865568,0.577683890246916,0.8432096050715677,0.42585703475682685,0.7757680574283059,0.01824967229661901,0.9487336018527183,0.4590677424092831,0.9698530451603291,0.8113749967620424,0.9168333417959377,0.5532548322260891,0.9798120014747201,0.5508877767077544,0.8693537053689091,0.09750597320590801,0.7588043450992198,0.038691422900615426,0.9670451219324325,0.5523706931560206,0.6302831004569238,0.05421066892554571,0.6004306939535464,0.05702165140440685,0.7436103288827491,0.16251350240507573,0.946589975228778,0.7753621822410464,0.9687220532020916,0.72231471338154,0.9445015001429787,0.5710470483948528,0.9250707941795387,0.32391353924649763,0.8897467272679312,0.03532060236581273,0.8254141589310574,0.21506900392839276,0.8158347700134925,0.2582972349337245,0.9664016803194001,0.6413637501280742,0.5892907062299144,0.18840233163247116,0.9460541595618684,0.7039895078448332,0.6339072410500982,0.09431697318204049,0.6782194831906543,0.3842034130069437,0.6366670905948495,0.1818331504050792,0.7919420928718128,0.046591675939441746,0.8332033883573475,0.35187833274199465,0.4265484087351867,0.9390555214404837,0.559068136459238,0.8411732358467483,0.4110563982214613,0.9518512709289978,0.45773781974844846,0.9654793808898904,0.7838478434535886,0.9730284524501769,0.548402197642625,0.6507769062681433,0.06627548044420291,0.560890828349415,0.04491244829766449,0.7326206505215521,0.14341997131772866,0.9384252389648856,0.7450325751935065,0.9604908382454613,0.7326313411502848,0.9329031391485871,0.5309341333024219,0.8364797806915095,0.21717375192387264,0.7952860723075712,0.21422838931582056,0.5769865044783345,0.17150041098553556,0.9490167701337185,0.6912503325581737,0.613874150761979,0.08144255068979675,0.6787054426953674,0.38420390056231857,0.5991894975928361,0.17387114736600381,0.8053463156508698,0.38649937936848294
5,3.9998499891458303,0.4546719336165561,0.9317790134496308,0.5780106421895934,0.8866789616768728,0.48354286524065043,0.7299506812109648,0.025100432772916535,0.9248510828978678,0.4063815799757667,0.9597882571043247,0.7886780966004333,0.8357185509896093,0.511901225512162,0.9496539604547551,0.48264115109872757,0.9078261336264742,0.20144769000418355,0.5533850643807745,0.015936811520022607,0.9540585090813859,0.6307415949259703,0.5787868000156016,0.045590443333083513,0.5946121720881087,0.05216933078156416,0.708498283894287,0.13479933029734997,0.9659493884618933,0.8637628501643153,0.9806515576823613,0.7799877065669267,0.8999971416623465,0.44775879980120975,0.9030519109790883,0.3270674929805693,0.8734592231158141,0.03668061904673225,0.7705860715839034,0.25803501413061175,0.8089194155022794,0.2886065692852293,0.9116770075972916,0.4672958618278041,0.5864100243990259,0.18553280445314055,0.944864829172185,0.7057504840311329,0.5959255602112745,0.08168372037775821,0.6790437266995211,0.32204932173375583,0.6088128915584835,0.11262390173669556,0.7737674698191654,0.043072891907203634,0.808100136641307,0.3435870086035373,0.4336289781620332,0.9287600122143143,0.5676362758118496,0.8753234706554452,0.46994676412799724,0.9276204177957103,0.4073988973504688,0.9524696473403158,0.7539196597646333,0.938728695305929,0.4796823730396001,0.5830493618106595,0.04303710711909046,0.5483672515132773,0.04018085668541684,0.6973492437669444,0.12176498869184958,0.9609678736368904,0.8488042322553733,0.97561486037911,0.7794597205660502,0.8992475313537301,0.459929502440278,0.7806931263709634,0.26854732928093644,0.7929453104220752,0.24108762977512666,0.5705148571774389,0.173594333716407,0.948924439019921,0.6769820437929656,0.576572235937153,0.06928083705500654,0.6818738929223113,0.3156911271930998,0.5694075007878978,0.09590946375550644,0.7893572071338938,0.37849184124564755
6,3.940532058435198,0.4406598593823756,0.9315829266990077,0.6078186409408898,0.8783153415945132,0.5230856657936233,0.7908664545676624,0.023371327011240912,0.9469396391253123,0.6156982895226393,0.9652572148533152,0.8103223714147553,0.8570459306103344,0.4711001790546298,0.9752459003318635,0.49708573575970155,0.9094665258524404,0.17471216186383912,0.7580061225579401,0.05516316570429278,0.9712438639590909,0.710834013049956,0.5938591030345757,0.05852298295657747,0.5685578236649587,0.06276312836529375,0.7491640026625283,0.19142205769680654,0.9647231279589867,0.8476950787829618,0.973742110238641,0.8362386368185101,0.9490951805418386,0.6155244778492587,0.8882036261521541,0.368784946795773,0.8937050984848361,0.08019295382099452,0.8124670251582365,0.2605106361168143,0.7284036699563341,0.24443837859661358,0.9522193736208944,0.5423622134928754,0.5823563778516782,0.19481235254335139,0.9658476724261029,0.7798279460665404,0.6560667899953614,0.12441911873363737,0.6647974410127845,0.396016108943807,0.6234445776758488,0.23751528900091123,0.8037923620235897,0.06156121379918037,0.8279413067633641,0.3848814470553879,0.40910784825221735,0.9325368862223207,0.6136975658211862,0.8649718158301681,0.49173205842729445,0.9449181770160077,0.6018135993869586,0.9591499836701277,0.7828831469447639,0.9690891725275679,0.4910976611414796,0.6186801875315113,0.0673099223637854,0.5244355199345687,0.04522013770452191,0.7362807974948684,0.1718867365314163,0.960080315907774,0.820941052163687,0.9616078740597934,0.8334778379663058,0.9360526922920334,0.5649015451476609,0.8244643779678053,0.2367546894808065,0.7181094840471561,0.22311514933863036,0.5630972609915881,0.17688393764321586,0.9640991439107887,0.7563110361928609,0.623801057626985,0.0985206900606687,0.6657200916051864,0.3948113177180714,0.5823187019789822,0.21700671211647657,0.7971896411452907,0.4215758220083216
7,3.8905572526241863,0.347916821942312,0.928069647338414,0.6365955625891623,0.8643109109069705,0.4653778812241483,0.697728527380199,0.021513107424811564,0.9430947254167247,0.44902646125026835,0.9656176017355825,0.8045001117656541,0.8225009551448881,0.5133576029331162,0.9739775431912667,0.5306048147248057,0.9235961314947748,0.30288980641979946,0.6798906006063378,0.03360966341884902,0.9662998710491237,0.6345536556245265,0.5975039333906862,0.05450730514379898,0.5189872267411033,0.06069642001114825,0.7014665490372318,0.14857423072906387,0.9618630670053925,0.8600150542021249,0.9648715091744081,0.8022766301545644,0.9447235210565308,0.5750829607001446,0.9035185638581821,0.3892905430802438,0.8640038338368785,0.03950022064944854,0.79629770568321,0.25731309106834244,0.775596137066316,0.2642320653872375,0.9463540277573411,0.5895556235721164,0.5257430476194735,0.18550121246141987,0.955126706901524,0.7176097471385667,0.5411279607708179,0.0858598196396872,0.624099165935422,0.3385011719431269,0.5660892507621451,0.15026428601873915,0.7882268735622441,0.0682832583284172,0.8052105775712293,0.36959601139271603,0.3306253260788552,0.9292583159682025,0.6108902404263844,0.8532183162660547,0.4275314196523964,0.9406423243965365,0.4502026034349372,0.9600504909547339,0.7786148419878437,0.9634918254350399,0.52590207518554,0.6149636715540439,0.058321757173599734,0.4708515348972868,0.04750513059983752,0.687345180634269,0.13156974996419912,0.9527642661890298,0.8215890795007987,0.9455311943230145,0.7847773932785407,0.927599251289521,0.510001823943493,0.8003512100998772,0.25254788882511386,0.7407776191921123,0.23238232379492396,0.5099287006147624,0.1644796996150622,0.9534921374317649,0.6870883281679684,0.5245119355080441,0.06499894302721108,0.6315158682803915,0.34344428280029127,0.5307613267113686,0.13376136391681273,0.7742808427636697,0.390311608071942
