epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.250129085835151,0.418975650713686,0.5123998099160463,0.042714309486808544,0.522357745295677,0.18845826876062646,0.5337216315933023,0.01963761734931261,0.7292846485795769,0.20301739356835002,0.8726522939282376,0.5864421549010551,0.8137282642500304,0.25759971929101827,0.466461463241177,0.017369535931029682,0.8102906184873397,0.6601245020120938,0.9059734423543345,0.13463398808498225,0.5428441487106279,0.12262882492038632,0.4408106611683942,0.0319338059934972,0.3948678452520644,0.013841988026275849,0.9022395446602147,0.7173459588554705,0.5549798009342068,0.024892504886302475,0.5327980801729257,0.028020437888677877,0.5905888108633783,0.01969802562442241,0.637528365811791,0.055421118258363024,0.5863434541438808,0.04496790215464616,0.8000406696663976,0.24463214612855463,0.7740183067722676,0.24465152632275172,0.7896389543858828,0.28171670030270146,0.653027074294655,0.18760706803558697,0.4368131868131868,0.5282594885311152,0.18765678614685324,0.7238291019404345,0.20974563842855026,0.7957372779620321,0.2848614224977723,0.8195850804914523,0.664330777795579,0.5388597849854228,0.11959655779278079,0.8863190692110684,0.6740180194665418,0.763598753328927,0.24423761418642476,0.7223126509214932,0.3406352594735004
1,4.8017949621037355,0.5142355545378215,0.5824464972029313,0.060500864983732215,0.4878249893253861,0.18549108321829136,0.5785317682715363,0.022492696142209403,0.9172613799823675,0.4885041463185421,0.8984581478954179,0.6359645544575686,0.8387212396217576,0.34686665883618634,0.5096751457272393,0.024558135945072272,0.7122105712269647,0.55341514050731,0.9288121073157454,0.22297787879609993,0.6729910845516995,0.23920392155011008,0.45826541166559953,0.033358630625492054,0.5603571871494942,0.02527966401460821,0.918082295226933,0.7725382620809801,0.6699033919681215,0.07452178044095722,0.6067397788398929,0.05262962489895586,0.44035933332935584,0.01447853926049908,0.6760094653510209,0.06886172230356233,0.6349680446030292,0.06090710691649918,0.822620978879353,0.24091480250632105,0.9283483967766194,0.598953946956745,0.8049172021551452,0.3585327740737881,0.6975002103364577,0.24195009213493002,0.4874084249084249,0.495262364746928,0.18909548862138298,0.8985356231820131,0.4806867030801173,0.8346277494048466,0.39834268809715867,0.7141046242266077,0.5529560593318551,0.6792530293367346,0.219484523943637,0.9029571514014487,0.7142714671016216,0.7851560966031809,0.3108686144675642,0.7585566627002513,0.4093865063776195
2,4.587665406613575,0.506526219372567,0.6670137644126155,0.09890716862657963,0.5965552597503856,0.3308765464768674,0.5766937725343192,0.024059352086587014,0.9290649550440281,0.6140460614582227,0.8840736256458878,0.546574492548143,0.8330862206072822,0.3316044234553438,0.5793267338049096,0.028541390580715413,0.8214699591909491,0.6474350468302017,0.8704704144438404,0.2787727192931084,0.7771277404990953,0.38784021423509624,0.5039576012540953,0.040493648522292466,0.5594962119818305,0.025513323929701556,0.923655687887316,0.792763794957502,0.8079757561212795,0.1374269697813691,0.6564866009284065,0.058770569342955006,0.612398312441456,0.025137605710341064,0.7260089808223554,0.07943932091879505,0.6742840553281416,0.08585226022873296,0.860326040647438,0.3408377397207336,0.9139142576385952,0.5517915379620545,0.817576489026586,0.37369685335383346,0.7424267828576576,0.27620862095329407,0.5013736263736264,0.5879326402180908,0.3178881661378004,0.9070913456536847,0.6034367801367192,0.8512676256943456,0.403483203450131,0.8128375802715305,0.6169452210672489,0.7740408049380465,0.36588841436064024,0.9089239797770156,0.7541894245583344,0.8052189832495859,0.3477037054628386,0.8067589942574713,0.4870764164533875
3,4.425171027610469,0.5639264178307,0.6077916079601824,0.08806835081892173,0.6202338337696568,0.34864103515833383,0.5273454385161584,0.021380309538957566,0.9179293839657627,0.6510428285851078,0.8438813204051823,0.5246578697906489,0.8204007999464603,0.37051158613406054,0.5204113381506927,0.02414946777837519,0.806100346569649,0.6026960787155204,0.8501103188702049,0.3525110276139509,0.7357332850042271,0.35805845939350656,0.46674957667491523,0.03906390720231186,0.5883042979934884,0.02694346748474958,0.9359967295262024,0.8286925190174433,0.8097809851294379,0.18477198990765467,0.648982323613262,0.07448482244785884,0.5616636039830797,0.01870490588971649,0.7585940348172274,0.09824008524629214,0.6803025174973503,0.11679221337284698,0.8622743152533064,0.373002963925455,0.9017953983613612,0.5472547545980889,0.8364294521218552,0.4340234747906605,0.7286100432442697,0.2896996246385934,0.5748626373626373,0.5930090891709138,0.32490880240273695,0.9148522514949626,0.6618290320892792,0.8489277066758907,0.4277818105796308,0.7981661437410198,0.5762680808245655,0.7395277195699708,0.34067377944855876,0.9171414842116563,0.7571124481249618,0.8154511992433691,0.3801553218984909,0.8038679420153976,0.49553275362403193
4,4.323884073627531,0.5362949393176093,0.7826966076683868,0.1685727247664554,0.6528782364278203,0.4087625589909328,0.602913518775543,0.030572901498665712,0.9659705243019243,0.7482125688661124,0.9230117298078154,0.6457995433416308,0.8733689575894527,0.4621339183520388,0.5983130246498102,0.03036362032264451,0.77658613290243,0.6308538233914126,0.9612779864282553,0.7570952165871039,0.8106305016652425,0.4110719550193844,0.5099476724338518,0.044517683006101996,0.539199412342711,0.02557482112692579,0.9126819569504586,0.7479438507087336,0.862519795959437,0.23461846631681824,0.6880548336525407,0.0839850048354992,0.46699722270283817,0.01673397950283812,0.7813106600650471,0.10436725966464752,0.7477390284335058,0.12548773802226043,0.8589820481293395,0.34866924007500294,0.9390367549634708,0.6241213975959938,0.8398024047816031,0.4180272813635146,0.7663770957443564,0.3365469311121294,0.49793956043956045,0.6323871357701331,0.39326104223917935,0.9581144119813406,0.7471770183086144,0.8853134474128636,0.46933869091258396,0.7592153183004429,0.5941554463372134,0.8017111197157434,0.3850028738736806,0.8982900434006921,0.7030977727033856,0.8202802520996784,0.36803903471642657,0.8221873898115563,0.5228674112987263
5,4.223698322686173,0.3939393939393939,0.613588251477736,0.1113362314719315,0.5970630586254573,0.3329192146195667,0.43657348030652726,0.014565601351170871,0.9501107391054493,0.6815794111138751,0.8759173347799335,0.4726381063963799,0.8105556788522027,0.2484679859562533,0.48477420215130235,0.02016805598975096,0.7583807690686508,0.5233184612617889,0.8301972670843282,0.4679530501868977,0.7299106055512241,0.2979220120499224,0.44186154339995004,0.029910865543706516,0.43444084654267534,0.016278697550437794,0.9297082540863376,0.8212957268023429,0.8435250494664622,0.2385761568934483,0.5495158900348104,0.04895587536297479,0.5429824770746201,0.01901792587514067,0.6262438602699526,0.059961133267042555,0.7266012753687559,0.16884378536989922,0.8794980012999475,0.43050833152101514,0.9542951297867731,0.5988283639507956,0.7510541759771258,0.3719199677488933,0.7031808519195343,0.2845221409658683,0.37957875457875456,0.5902739086724382,0.32623806634950675,0.9353243975414782,0.6732233342745367,0.8409160274279204,0.3067926707777904,0.744996041403982,0.49789129691670364,0.7294301202623907,0.28199872405093146,0.9130639150593755,0.7754308964383023,0.7272500504697141,0.31915002091747235,0.7830363515481855,0.4543892871036062
6,4.15247372057354,0.4085184337073506,0.6841600040017676,0.2209457043932603,0.627284899471851,0.4018348999445532,0.47775231138111746,0.017439240672530956,0.9180224994021339,0.62858776233427,0.8847621194706624,0.5510853907577922,0.8189561992898114,0.374243388187615,0.4842624106269764,0.01982903838465415,0.8342283138168706,0.6803181631468855,0.8934742422562733,0.6046777377940421,0.6789456251960221,0.2458494439586611,0.4508837601118224,0.035025117308514556,0.5026296028270786,0.023497900446604304,0.939935755542611,0.8366052569102717,0.8164275527256863,0.269175480055667,0.6426596784757481,0.08273552525898976,0.6396673209672512,0.02575932736701757,0.6366986522417472,0.069018715529517,0.7514707169838717,0.21742055046731062,0.8752416819623855,0.3080209610321127,0.9499275303823106,0.73396442339195,0.7933014674076483,0.42276880642460585,0.7286043973591261,0.32232394446508694,0.3532509157509158,0.6129472885652433,0.38742381857470837,0.900205986508924,0.6301655307908238,0.8400848474983214,0.4434712937602005,0.8202812069319414,0.64701978300095,0.6602103452988337,0.2054782004204251,0.9190306156354955,0.7668131973686889,0.7673559124232929,0.36778677764984924,0.7885880289802932,0.49259408593794934
7,4.092149119096515,0.5237004808793222,0.6793802262666011,0.19971756198843882,0.6895766902051134,0.46422556463729525,0.5683412533550009,0.025211435504579924,0.9478487523334629,0.6278962537966998,0.9001047376158338,0.639799053161677,0.8424024031856137,0.44193242988811626,0.5504063853294896,0.028712200533594787,0.8028659807348333,0.6556147192153136,0.9423800214689174,0.7051259404228402,0.7505608899946512,0.3547640566287532,0.513717600982352,0.0433771338385765,0.48888347159361156,0.01942041264211255,0.9230318976468028,0.7903976593826134,0.7973749964064162,0.17593601303322137,0.6275785622492568,0.06573092549815122,0.6373121371764046,0.04518176740484514,0.6804011329282673,0.07564856948264312,0.7529375191735941,0.23959731953269944,0.8951940021298062,0.39719778165495845,0.9166720786216449,0.5997663146079028,0.807643397571025,0.41816933786450927,0.7483149589032714,0.3339724976533116,0.4926739926739927,0.6649128397645574,0.4394386434057336,0.9208362636127954,0.5974924997052996,0.8496032311229577,0.4829395359433439,0.7922609447849163,0.6378421330042254,0.7268244351311952,0.2976311882240312,0.9045051861015546,0.7339061424514208,0.7814907509063806,0.35653685991596823,0.8057762359177653,0.5065410003785746
8,4.045845524553725,0.3967636058316159,0.7312385470249361,0.24115668672867244,0.5670132495522744,0.24718300010849645,0.4434287557673259,0.015061884431887069,0.9636766810749456,0.7659462866195589,0.9293063867132852,0.6958219751976009,0.868168149178992,0.45990656970156274,0.5084321780983707,0.020673075338942963,0.8266990391226972,0.6467955834046002,0.9711140763813968,0.8508143341498546,0.7224585885069355,0.30096498144393374,0.4825629128162625,0.03532967076637218,0.493473351677181,0.02389503455813892,0.9369644248247208,0.8273535947767365,0.8647265688961884,0.28938006273328437,0.6097343768200072,0.09763150554662842,0.5792189709383148,0.0236190446758971,0.6465341664553119,0.07778647124765144,0.7676416639441053,0.2580617276686215,0.8794401663998578,0.4705327159987415,0.927370147980046,0.6005634756815312,0.7936171648630059,0.4364946489717497,0.7387056936683886,0.3516653490357364,0.36675824175824173,0.5468305088578811,0.21113100703639717,0.9474047780547382,0.7362390831812532,0.8850926811402526,0.534597505702842,0.8135152332639357,0.62007167413351,0.7017609443330903,0.24485808672862122,0.9153006609787393,0.7764650056274919,0.7746760950545212,0.35742568951698234,0.7977972716690226,0.49725543598958544
9,3.989846135958325,0.5553774521028929,0.8117988778377117,0.29634542410135395,0.6268784605621341,0.4101137383278692,0.5250507923463607,0.02537045086163931,0.9588165639288557,0.6873829006715433,0.9329133261003321,0.7606554779212846,0.8942789754229048,0.5093678028631871,0.48960923510661264,0.020131356895509496,0.8116234685344297,0.6811170738732396,0.946753569815892,0.5485638595108119,0.7185741125885805,0.3045384258285625,0.4774831816383063,0.04056796696077149,0.5043205485164788,0.023583264490818483,0.9326485363577028,0.8064755905003961,0.9062090253325783,0.3864571205809761,0.6675555860017224,0.08099141716476223,0.5857811185556862,0.07618726992021095,0.6533402069572302,0.08332778957165728,0.8040367933707587,0.2653168149079542,0.8963619172207635,0.497237273869981,0.9238789818079409,0.6870301455515058,0.8100567627646501,0.4207895436129002,0.7560938114651254,0.3624547956184255,0.4803113553113553,0.5976196692865792,0.384202733324961,0.9432184663784243,0.67044107229675,0.8978869513907258,0.5820180889118257,0.8008990411400756,0.6626133535522931,0.689221369351312,0.2588638354012958,0.9071079496367941,0.7325783982198798,0.7938424183427681,0.36503912448688963,0.804256552218097,0.522250943741985
10,3.939149323879021,0.5387375009541256,0.8374665477252452,0.30325644401440566,0.6796197187809352,0.45057381132867197,0.572043237407664,0.023166645180048663,0.9759890670788076,0.806556313364974,0.9550182217283919,0.8247817255701826,0.9206841348216851,0.5666704422948141,0.4513661531818702,0.017405963415946194,0.7397794612355847,0.5972307012597792,0.931359625997399,0.5461188232990677,0.7657670409892734,0.37299199832104624,0.4932028512664086,0.046109734954464396,0.5048309326878915,0.026098805640950164,0.9503055717363689,0.8674239428601587,0.8751876475712999,0.3373020381314526,0.6597244234694755,0.0651218949922798,0.543963927951363,0.03366144069813863,0.7353412535391476,0.09778957477879596,0.805946679080123,0.31041887224103487,0.8945393975044136,0.5007791592470813,0.9541537108510811,0.7340536050711212,0.8137940652983064,0.45971487817167034,0.7647658890429874,0.38034413403981354,0.5641025641025641,0.6541460476189498,0.41357287651754837,0.9575418110999679,0.7779290938006812,0.9001983844385212,0.5726156909400447,0.7267079142597426,0.5712464676540665,0.7356220389941691,0.28960478393264,0.9258111430893727,0.7992527386733083,0.7817291338843981,0.38567349599777223,0.8116794961978745,0.5442707353594373
11,3.892854775083801,0.5259903824135562,0.8032399309695115,0.33599574344280486,0.6651973923970688,0.4568534998263799,0.5443417361760431,0.02464358978707295,0.9229308473995494,0.6693290923845295,0.9588764793936624,0.7974863302762814,0.9106560781365026,0.5155851041293893,0.5654199420900905,0.02761837636100317,0.7390471957010049,0.6214252594104436,0.9727895892875329,0.8090663558188496,0.7959074617596547,0.43724034155644265,0.5225140160090762,0.047996043888381655,0.5426995302285076,0.02605743115172107,0.9399051422235012,0.8368262571087739,0.8584352973674969,0.335365892388884,0.6199042186930129,0.06357497530647596,0.5199929598052611,0.02097058132025346,0.7287005375594927,0.09650433717356413,0.8138312524422977,0.3241240595694029,0.8847628295714579,0.498790900364429,0.900669433541294,0.5541659842133962,0.8328800589913592,0.4752349178408975,0.763938187130637,0.37975500349139896,0.5059523809523809,0.6527788685513864,0.41887387089084765,0.8846259160157631,0.608378676216606,0.897980548151464,0.5085845327698424,0.7211409553411723,0.5751379041727469,0.766322259930758,0.35370634953430496,0.9169364938988545,0.7763847999148088,0.7936460704142388,0.365235207500092,0.8047758731862339,0.5151859058570355
12,3.8448946725302147,0.5517899396992596,0.7844593028587626,0.3223185208151284,0.6233484754305789,0.37574091198936577,0.4717318249567206,0.018929097059946914,0.9548895642893603,0.7336140566024875,0.9174814696277688,0.6323325934000424,0.8801829700374384,0.447954542589288,0.46241761172421675,0.018549825583870097,0.8186267591924937,0.6573493971137292,0.9068570523410764,0.5123962287883117,0.6603096134367393,0.23364006726421338,0.4557603631848992,0.034311116398431596,0.4773754669435961,0.02474785064236508,0.9548923480738594,0.8772415204362674,0.8976823884395346,0.4276167384119379,0.6170540278369196,0.08406185173885455,0.6198386199428432,0.045451976934381924,0.6290611438418579,0.08536887443471353,0.8164541645224271,0.3295647311550672,0.8885820940679505,0.49599392484395516,0.9291538170670199,0.6446116398353728,0.772656906162523,0.4252307292676049,0.7399436182846946,0.35366791406215886,0.5132783882783882,0.5982623462437526,0.3383243657015155,0.9205000270487336,0.6922086560503525,0.8825645512442265,0.49682289167509286,0.7984499897369735,0.62627230310847,0.6338813092201165,0.1816262742576817,0.9272281833564224,0.7920849483860092,0.747641474213433,0.36624289436498214,0.7869325544376655,0.49908319050630057
13,3.812197438124236,0.640714449278681,0.9090896812758967,0.4051680972795743,0.7733200677094125,0.5711746573840658,0.6985489376156758,0.03639868821777502,0.9835004979244227,0.8311161570367156,0.9384403153266494,0.5901468292452322,0.9327227606813717,0.6037812007478106,0.6299312319825254,0.036090731735873745,0.8207498562529099,0.7195495623954627,0.9834062032733338,0.8727092347691422,0.8175410359466325,0.45880030524443954,0.623157622993558,0.0925061332266219,0.5976857587143497,0.030545834606809735,0.936307957918968,0.7996003252534131,0.9250940893983653,0.4646919553873422,0.7173897684330324,0.11971318218076245,0.5918450829012762,0.07399968779003291,0.7699829646404346,0.10123221804525079,0.8622577009339274,0.3622631167480619,0.9088193694637489,0.42425886038306887,0.9663518527397946,0.8355833723965428,0.8607675830504632,0.47850547029585233,0.8212814447227024,0.4241826485890405,0.5446428571428571,0.7328717133734783,0.511273566664232,0.9733723944787294,0.7880932634917046,0.9202209697438298,0.5853958680337141,0.7900803448376976,0.6706043118638958,0.7900151466836736,0.37608619906482826,0.908301979869031,0.7242252164830513,0.8214406407026491,0.37945871243050117,0.848043312812727,0.5764481625759895
